City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,cascais,90,PT,1565244630,100,38.7,-9.42,73.0,6.93
276,ossipee,14,US,1565244631,83,36.17,-79.51,73.4,3.98
277,cervo,0,BR,1565244631,87,-22.19,-46.24,57.7,5.73
278,tromso,0,NO,1565244631,76,69.65,18.96,53.6,16.11
279,hambantota,75,LK,1565244568,83,6.12,81.12,82.4,11.41
280,tottori,40,JP,1565244632,70,35.5,134.23,93.2,6.93
281,santa marta,75,CO,1565244632,88,11.24,-74.21,82.4,9.17
282,kurumkan,82,RU,1565244632,31,54.33,110.32,68.86,3.49
283,okhotsk,21,RU,1565244633,67,59.36,143.24,61.48,13.8
284,broome,0,GB,1565244633,87,52.47,1.45,62.01,10.29
285,panama city,75,US,1565244633,83,30.16,-85.65,84.2,9.17
286,kununurra,20,AU,1565244634,18,-15.77,128.74,89.6,10.29
287,wewak,79,PG,1565244634,69,-3.55,143.63,83.98,7.11
288,geraldton,40,CA,1565244634,76,49.72,-86.95,55.4,4.7
289,saverne,0,FR,1565244635,93,48.74,7.36,66.0,2.24
290,jiuquan,7,CN,1565244635,17,39.73,98.49,83.8,19.28
291,tiksi,97,RU,1565244635,90,71.64,128.87,53.02,5.82
292,paita,26,PE,1565244635,88,-5.09,-81.11,62.74,17.22
293,persan,0,FR,1565244636,93,49.15,2.27,64.99,2.06
294,oranjemund,0,ZA,1565244636,83,-28.55,16.43,55.0,10.47
295,enterprise,40,US,1565244636,42,36.05,-115.22,84.2,4.7
296,touros,40,BR,1565244637,100,-5.2,-35.46,69.8,3.36
297,maralal,74,KE,1565244637,69,1.1,36.7,67.78,8.59
298,waipawa,69,NZ,1565244637,82,-39.94,176.59,51.01,7.0
299,hervey bay,40,AU,1565244637,57,-25.3,152.85,77.0,12.75
300,bestobe,14,KZ,1565244638,32,52.5,73.1,73.54,12.17
301,corrales,2,CO,1565244638,94,5.83,-72.84,43.48,5.06
302,lompoc,90,US,1565244639,87,34.64,-120.46,60.01,9.17
303,pahrump,20,US,1565244639,36,36.21,-115.98,84.0,16.11
304,coquimbo,90,CL,1565244639,76,-29.95,-71.34,50.0,4.7
305,panaba,13,MX,1565244639,83,21.28,-88.27,78.76,6.15
306,matara,36,BI,1565244640,52,-3.48,29.48,62.02,2.46
